outflow,temp,(pH(-)),BOD,COD,SS,T-N,T-P,Escherichia coli
1538,11.2,7.1,1.3,4.4,0.4,6.4,0.03,21
1498,11.1,7,1.7,6.4,2.6,3.931,0.03,26
1905,11.3,7.1,0.7,6.9,2,4.241,0.027,16
1492,14.2,7.1,0.7,7.3,2,4.912,0.033,17
1540,12,7.2,1,7.5,2.2,4.166,0.03,23
1548,14.3,7.3,1.3,8,3.3,3.193,0.078,21
1904,12.1,7.1,1.7,7.7,2.6,3.265,0.038,17
1508,12.2,7.1,0.7,9,2.7,3.941,0.033,6
1504,12.1,7.1,1.4,5.9,1.5,7.756,0.097,16
1527,12.2,7.1,1.6,4.3,1.1,8.388,0.047,13
1502,12.1,7.2,0.9,8,3,4.055,0.036,19
1858,12.2,7.1,1.5,6.5,2.8,4.559,0.008,13
1483,12.1,7.1,1.5,8.5,3,3.102,0.035,11
1502,12.3,7.5,3.6,7.3,5.6,7.686,0.089,110
1522,12.1,7.4,3.8,7.2,5.4,11.13,0.102,80
1503,12.1,7.1,1.7,3.4,1.1,7.787,0.044,19
1547,12.2,7.1,2.3,4.7,1.2,7.97,0.057,15
1513,12.3,7.1,1.7,6,1.7,4.838,0.023,23
1359,12.1,7,2.1,6.7,0.4,5.392,0.054,15
1529,11.8,7.1,4.1,6.5,2.7,2.212,0.042,8
1539,11.6,7,2,6.8,3.3,2.809,0.049,13
1534,11.8,7,1.6,6.3,1.4,2.492,0.044,7
1531,11.8,7.1,2,6.5,3.6,2.786,0.05,12
1550,11.7,7.1,0.5,6.7,4.7,2.111,0.057,9
1580,12.1,7.1,1.5,4.2,1.8,4.533,0.054,13
1904,12.2,7.1,1.4,5.6,1.9,4.978,0.078,15
1873,12.1,7.1,4.4,4.5,1.6,8.03,0.072,18
1919,12.2,7.1,2.1,7,1.5,11.699,0.217,13
1551,12.2,7.1,1.8,8.9,3.5,13.596,0.175,9
1498,12.3,7.1,1.5,8.8,5.7,11.038,0.07,7
1507,12.6,7.1,3.9,7.4,2.7,6.243,0.054,9
1536,12.1,7.1,4.5,5.8,1.8,4.747,0.082,8
